"datasetTitle"	"datasetKey"	"datasetType"	"hasEndpoints"	"numOccurrences"	"numNameUsages"	"installationKey"	"installationType"	"organisationKey"	"organisationTitle"	"participantTitle"	"countryOfParticipant"	"gbifRegistrationDate"	"mostRecentCrawlEndpointType"	"mostRecentCrawlEndpointUri"	"mostRecentCrawlDate"	"mostRecentCrawlStatus"	"potentialFalsePositive?"	"orphaned?"	"numImages"	"online?"
"Museu Paraense Emílio Goeldi - Nematoda Collection"	"0fcd3a78-f2c2-42de-910f-bcc306d63504"	"OCCURRENCE"	"true"	"58"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-03-09"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-nematoda_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emilio Goeldi - Annelida Collection"	"9c48ee0b-404a-4c84-9af0-946eef39ddca"	"OCCURRENCE"	"true"	"359"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-03-09"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-annelida_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emílio Goeldi - Crustacea Collection"	"eb509ab6-3bd8-479b-a255-46ec514fe6af"	"OCCURRENCE"	"true"	"1777"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-03-08"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-crustacea_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emílio Goeldi - Myriapoda Collection"	"7d8548df-4f5b-4342-ba6f-75e652b09909"	"OCCURRENCE"	"true"	"84"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-03-08"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-myriapoda_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emílio Goeldi - Mollusca Collection"	"3f611197-87ee-4c2a-b562-7f3426e25cf9"	"OCCURRENCE"	"true"	"1495"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-01-10"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-mollusca_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emílio Goeldi - Platyhelminthes Collection"	"411ecc3d-7827-4ef6-918c-bc47fe80d1d3"	"OCCURRENCE"	"true"	"80"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-01-10"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-platyhelminthes_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"museu_paraense_emilio_goeldi-paleoinvertebrate_collection"	"d83f8cf4-e174-4f1c-88be-135129d172ba"	"OCCURRENCE"	"true"	"2603"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-01-10"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-paleoinvertebrate_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emílio Goeldi - Paleovertebrate Collection"	"dcda25fc-e43b-455c-bc1a-a4e1d0941d32"	"OCCURRENCE"	"true"	"1897"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-01-10"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-paleovertebrate_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emílio Goeldi - Acanthocephala Collection"	"b0de1d7c-1481-4f24-96cd-3ac07155fc34"	"OCCURRENCE"	"true"	"9"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-01-04"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-acanthocephala_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emilio Goeldi - Hymenoptera Collection"	"70621b53-09ae-4153-b51a-436e106a1139"	"OCCURRENCE"	"true"	"48658"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-01-04"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-hymenoptera_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"museu_paraense_emilio_goeldi-hexapoda_collection"	"afb012a7-e54e-47ee-a631-6c444fe68ba1"	"OCCURRENCE"	"true"	"34568"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-01-02"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-hexapoda_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emílio Goeldi - Diptera Collection"	"0ec0337f-05dc-4f2e-8480-d8d03e23670d"	"OCCURRENCE"	"true"	"25713"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2017-01-02"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-diptera_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emílio Goeldi - Amphibia Collection"	"b66a83bf-cccb-40a9-b643-1f95c9aeda37"	"OCCURRENCE"	"true"	"14000"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2016-12-22"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-amphibia_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emilio Goeldi - Chelonia Collection"	"fb7082a0-5e66-4382-94df-4c5c4e57cda3"	"OCCURRENCE"	"true"	"1277"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2016-12-22"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-chelonia_collection_"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
"Museu Paraense Emilio Goeldi - Crocodilia Collection"	"5c205e70-07ae-4937-be8f-43c7fe102571"	"OCCURRENCE"	"true"	"150"	"0"	"43d575e8-6726-46a9-9464-dca8952b0758"	"IPT_INSTALLATION"	"4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4"	"Museu Paraense Emílio Goeldi"	"Brazil"	"Brazil"	"2016-12-22"	"DWC_ARCHIVE"	"http://ipt.museu-goeldi.br/ipt/archive.do?r=museu_paraense_emilio_goeldi-crocodilia_collection"	"2017-10-31"	"ABORT"	"FALSE"	"YES"	"0"	"FALSE"
